"BUSI_DT","Prefixed_Name","Full_Name","First_Name","Surname","Bank_Name","Position"
"2026-01-15","Mr.","นายวินิจ ศิลามงคล","วินิจ","ศิลามงคล","ธนาคารไทยพาณิชย์","กรรมการอิสระ และประธานกรรมการตรวจสอบ"
"2026-01-15","Dr.","ดร.วิรไท สันติประภพ","วิรไท","สันติประภพ","ธนาคารไทยพาณิชย์","กรรมการอิสระ ประธานกรรมการความยั่งยืน และกรรมการเทคโนโลยี"
"2026-01-15","Mr.","นายกานต์ ตระกูลฮุน","กานต์","ตระกูลฮุน","ธนาคารไทยพาณิชย์","กรรมการ กรรมการกำกับควบคุมกลุ่มเอสซีบี เอกซ์ และกรรมการสรรหา ค่าตอบแทน และบรรษัทภิบาล"
"2026-01-15","Ms.","นางสาวจรีพร จารุกรสกุล","จรีพร","จารุกรสกุล","ธนาคารไทยพาณิชย์","กรรมการ กรรมการกำกับควบคุมกลุ่มเอสซีบี เอกซ์ กรรมการบริหาร และกรรมการสรรหา ค่าตอบแทน และบรรษัทภิบาล"
"2026-01-15","Dr.","ดร.กุลยา ตันติเตมิท","กุลยา","ตันติเตมิท","ธนาคารไทยพาณิชย์","กรรมการ กรรมการกำกับความเสี่ยง และกรรมการกิจกรรมเพื่อสังคม"
"2026-01-15","Dr.","ดร.ธิบดี วัฒนกุล","ธิบดี","วัฒนกุล","ธนาคารไทยพาณิชย์","กรรมการ กรรมการกำกับความเสี่ยง และกรรมการความยั่งยืน"
"2026-01-15","Mr.","นายอภิศักดิ์ ตันติวรวงศ์","อภิศักดิ์","ตันติวรวงศ์","ธนาคารไทยพาณิชย์","กรรมการอิสระ กรรมการกำกับควบคุม กลุ่มเอสซีบี เอกซ์ และกรรมการบริหาร"
"2026-01-15","Mr.","นายชัยรัตน์ ปัณฑุรอัมพร","ชัยรัตน์","ปัณฑุรอัมพร","ธนาคารไทยพาณิชย์","กรรมการอิสระ และกรรมการกิจกรรมเพื่อสังคม"
"2026-01-15","Mrs.","นางนันทวัลย์ ศกุนตนาค","นันทวัลย์","ศกุนตนาค","ธนาคารไทยพาณิชย์","กรรมการอิสระ และกรรมการตรวจสอบ"
"2026-01-15","Mr.","นายคมกฤช เกียรติดุริยกุล","คมกฤช","เกียรติดุริยกุล","ธนาคารไทยพาณิชย์","กรรมการอิสระ และกรรมการกำกับความเสี่ยง"
"2026-01-15","Mr.","นายอาทิตย์ นันทวิทยา","อาทิตย์","นันทวิทยา","ธนาคารไทยพาณิชย์","เอกสารที่เกี่ยวข้อง นิยามกรรมการอิสระ PDF"
"2026-01-15","Mr.","นายประสัณห์ เชื้อพานิช","ประสัณห์","เชื้อพานิช","ธนาคารไทยพาณิชย์","กรรมการ กรรมการกำกับควบคุมกลุ่มเอสซีบี เอกซ์ และกรรมการสรรหา ค่าตอบแทน และบรรษัทภิบาล"
"2026-01-15","Dr.","ดร.ไพรินทร์ ชูโชติถาวร","ไพรินทร์","ชูโชติถาวร","ธนาคารไทยพาณิชย์","กรรมการอิสระ และกรรมการกิจกรรมเพื่อสังคม"
"2026-01-15","Dr.","ดร.กุลภัทรา สิโรดม","กุลภัทรา","สิโรดม","ธนาคารไทยพาณิชย์","กรรมการอิสระ และกรรมการตรวจสอบ"
"Source_URL:","https://www.scbx.com/th/executive-scbx/about-board-of-directors/","","","","",""
